Tipo de educaciOn,Turno,¿Comparte?,CategorIa,Primer nivel de educaciOn que ofrece,Ultimo nivel de educaciOn que ofrece,Tiene comedor,Tiene copa de leche,Tiene equipo multidisciplinario,Con clases especiales,Horario,Tiene maestro de apoyo,Tiene maestro de apoyo Ceibal,Tiene maestro comunitario,Maestro mAs maestro,Maestro de trayectorias protegidas,Profesores especiales,Ruee Calculado,Rule Calculado
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,SI,0,0,2,1103166,2030152
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,HABILITADA DE PRACTICA,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,0,1,NO,0,0,2,1103167,2030153
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1103168,2030154
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,SI,SI,NO,NO,,0,2,SI,0,0,1,1103170,2030156
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),SI,APRENDER,1° AÑO ,6° AÑO ,SI,NO,NO,SI,,1,0,SI,1,0,4,1103171,2030157
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,1,0,1,1103172,2030158
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,SI,1,0,1,1103173,2030159
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1103174,2030160
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,3,SI,1,0,1,1103175,2030161
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,1,1103176,2030162
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,0,3,SI,0,0,1,1103177,2030163
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,1,0,7,1103178,2030164
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,0,2,SI,0,0,2,1103179,2030165
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,4,1103180,2030166
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,1,1,SI,0,0,4,1103181,2030167
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1103182,2030168
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,1,NO,0,0,1,1103183,2030169
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1103184,2030170
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,1° AÑO ,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,4,1103185,2030171
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1103186,2030172
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),SI,DE TIEMPO COMPLETO,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1103187,2030173
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,3,1103188,2030174
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,SI,0,0,2,1103189,2030175
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,SI,0,0,5,1103190,2030176
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,4,SI,0,0,2,1103191,2030177
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,HABILITADA DE PRACTICA,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,4,NO,0,0,1,1103194,2030180
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER  H. DE PRACTICA,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,1,SI,2,0,2,1103195,2030181
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER  H. DE PRACTICA,1° AÑO ,6° AÑO ,SI,NO,NO,SI,,0,2,SI,0,0,2,1103196,2030182
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,1,SI,0,0,1,1103197,2030183
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,3 AÑOS ,6° AÑO ,SI,SI,SI,NO,,0,0,NO,0,0,4,1103200,2030186
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,SI,0,0,1,1103201,2030187
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,1° AÑO ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,1,0,3,1103204,2030190
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,3 AÑOS ,6° AÑO ,NO,SI,NO,NO,,0,2,SI,0,0,1,1103205,2030191
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1103206,2030192
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1103207,2030193
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1103208,2030194
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1103209,2030195
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,3,1103213,2030199
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),SI,COMUN,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,2,0,NO,0,0,1,1103217,2030203
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,NO,0,0,2,1103218,2030204
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,NO,SI,NO,,0,0,NO,0,0,2,1103219,2030205
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,4,1103220,2030206
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,0,NO,0,0,3,1103221,2030207
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,1° AÑO ,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,1,1103224,2030210
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,SI,,0,0,NO,0,0,2,1103226,2030098
ESCUELA COMUN,MATUTINO (4 HORAS),SI,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,0,1,SI,1,0,1,1103227,2030121
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,1° AÑO ,6° AÑO ,SI,NO,NO,NO,,0,2,SI,1,0,1,1103228,2030115
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1103229,2030169
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,1,0,2,1103230,2030212
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,3 AÑOS ,6° AÑO ,SI,SI,NO,SI,,0,0,SI,3,0,3,1103231,2030149
ESCUELA COMUN,MATUTINO (4 HORAS),SI,DE PRACTICA,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,1,1103232,2030130
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,COMUN,4 AÑOS,6° AÑO ,NO,SI,NO,NO,,0,0,NO,0,0,1,1103233,2030099
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,2,SI,1,0,1,1103235,2030191
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,1,1,SI,2,0,1,1103236,2030213
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,0,3,SI,0,0,2,1103244,2030152
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,4 AÑOS,6° AÑO ,NO,SI,NO,SI,,0,2,SI,0,0,3,1103245,2030150
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,0,0,SI,0,0,1,1103254,2030156
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,8,1103257,2030230
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,0,0,1,1103258,2030231
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,5,1103260,2030233
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,1,0,2,1103262,2030235
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,0,0,NO,1,0,1,1103263,2030236
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,SI,1,0,3,1103264,2030237
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,5,SI,1,0,3,1103267,2030239
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,5 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,3,1103268,2030240
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,2,1103269,2030241
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,1,NO,0,0,3,1103271,2030243
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1103274,2030246
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,DE PRACTICA,1° AÑO ,6° AÑO ,SI,SI,NO,NO,,0,2,NO,0,0,1,1103275,2030137
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,4,1103277,2030249
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,3,1103278,2030250
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1103285,2030252
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,SI,0,0,1,1103286,2030253
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,1,NO,0,0,5,1103291,2030258
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,1,1103292,2030259
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,1,NO,0,0,0,1103294,2030261
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,3,NO,0,0,7,1104001,2040001
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,DE PRACTICA,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,1,1104002,2040002
ESCUELA COMUN,MATUTINO (4 HORAS),SI,COMUN,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,1,1104003,2040003
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,1,4,NO,1,0,2,1104004,2040004
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,3 AÑOS ,6° AÑO ,SI,SI,SI,NO,,0,0,SI,0,0,3,1104005,2040005
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,HABILITADA DE PRACTICA,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,1,1104006,2040006
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,0,0,NO,0,0,9,1104007,2040007
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,1,0,6,1104008,2040008
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,3,1104009,2040009
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),SI,DE TIEMPO COMPLETO,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,0,0,NO,0,0,7,1104010,2040010
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,1° AÑO ,6° AÑO ,SI,SI,NO,SI,,0,2,SI,1,0,11,1104011,2040011
ESCUELA COMUN,EXTENDIDO (7 HORAS) ,NO,TIEMPO EXTENDIDO,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,0,NO,1,0,8,1104012,2040012
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,0,4,SI,0,0,5,1104013,2040013
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104014,2040014
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104015,2040015
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104016,2040016
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104017,2040017
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,COMUN,4 AÑOS,6° AÑO ,SI,SI,NO,SI,,1,4,SI,1,0,3,1104018,2040018
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104019,2040019
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1104020,2040020
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1104021,2040021
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,7,1104023,2040022
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104024,2040023
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104026,2040025
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104027,2040026
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104028,2040027
ESCUELA COMUN,VESPERTINO (4 HORAS),SI,APRENDER,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,7,1104029,2040028
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,3,1104030,2040029
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104031,2040030
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104032,2040031
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1104033,2040032
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104034,2040033
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,4,1104035,2040034
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104036,2040035
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104037,2040036
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,3 AÑOS ,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,0,1104038,2040037
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104039,2040038
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104040,2040039
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104042,2040041
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104043,2040042
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,SI,NO,,0,0,NO,0,0,0,1104044,2040043
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,HABILITADA DE PRACTICA,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,0,0,SI,1,0,1,1104046,2040045
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104047,2040046
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,NO,NO,NO,NO,,0,0,NO,0,0,0,1104048,2040047
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104049,2040048
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104050,2040049
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104051,2040050
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104054,2040052
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104055,2040053
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104056,2040054
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104057,2040055
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,3 AÑOS ,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1104058,2040056
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104059,2040057
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,3,1104060,2040058
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,6,1104061,2040059
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104062,2040060
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1104063,2040061
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,5 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104066,2040062
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104067,2040063
ESCUELA COMUN,RURAL (5 HORAS),NO,CON MAESTRO A CARGO,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104068,2040064
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,5 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104070,2040065
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104071,2040066
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104072,2040067
ESCUELA COMUN,TIEMPO COMPLETO (7 HORAS Y MEDIA),NO,DE TIEMPO COMPLETO,3 AÑOS ,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,2,1104074,2040068
ESCUELA COMUN,DOBLE TURNO (UN TURNO MATUTINO Y UNO VESPERTINO),NO,APRENDER,4 AÑOS,6° AÑO ,SI,NO,NO,SI,,1,0,SI,1,0,1,1104075,2040069
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104076,2040070
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,NO,NO,NO,,0,0,NO,0,0,0,1104077,2040071
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104078,2040072
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104079,2040073
ESCUELA COMUN,RURAL (5 HORAS),NO,RURAL,4 AÑOS,6° AÑO ,SI,SI,NO,NO,,0,0,NO,0,0,0,1104080,2040074
